date,content
2025-12-04,M-1グランプリ2025 決勝進出組を追加しました。
2025-12-05,決勝結果表に決勝進出歴を追加しました。
2025-12-06,R-1ぐらんぷり2010 準決勝進出者を追加しました。
2025-12-07,R-1ぐらんぷり2009 準決勝進出者を追加しました。
2025-12-08,R-1ぐらんぷり2008 準決勝進出者を追加しました。
2025-12-09,R-1ぐらんぷり2007 準決勝進出者を追加しました。
2025-12-10,R-1ぐらんぷり2006 準決勝進出者を追加しました。
2025-12-11,R-1ぐらんぷり2005 準決勝進出者を追加しました。
2025-12-12,R-1ぐらんぷり2003 準決勝進出者を追加しました。
2025-12-13,THE W 2025 決勝結果を追加しました。
2025-12-14,決勝結果表にソート機能を追加しました。
2025-12-15,R-1ぐらんぷり2002 準決勝進出者を追加しました。\nまた、芸人一覧にR-1結果のフィルターを追加しました。
2025-12-16,ダブルインパクトを追加しました。
2025-12-17,M-1グランプリ2024 決勝ネタ名を追加しました。
2025-12-18,各大会に出演する芸人の年齢表・結成年数表を追加しました。
2025-12-19,M-1グランプリ2023 決勝ネタ名を追加しました。
2025-12-20,M-1グランプリ2022 決勝ネタ名を追加しました。
2025-12-21,M-1グランプリ2025 決勝結果・敗者復活戦結果を追加しました。
2025-12-22,ぐるぐるナインティナイン おもしろ荘 2026 を追加しました。
2025-12-23,おもしろ荘全年の本戦出場者と、2025結果詳細を追加しました。
2025-12-24,M-1グランプリ2021 決勝ネタ名を追加しました。
2025-12-25,芸人ページに、所属ユニット／所属メンバーの記録を表示する機能を追加しました。
2025-12-26,芸人一覧ページのM-1・KOC・R-1進出経験フィルタを、所属メンバー・ユニットにも適用しました。
2025-12-27,ytv漫才新人賞を追加しました。
2025-12-28,お笑いハーベスト大賞を追加しました。
2025-12-29,ビートたけし杯「お笑い日本一」を追加しました。
2025-12-30,ABCお笑いグランプリ2025決勝のネタ名を追加しました。
2025-12-31,ABCお笑いグランプリ2024決勝のネタ名を追加しました。
2026-01-01,更新履歴を追加しました。
2026-01-02,芸人一覧ページで、ユニットを結成日順に、個人を誕生日順に並べる機能を追加しました。
2026-01-03,ユニットのメンバーの芸人詳細ページを追加しました。
2026-01-04,本日誕生日の芸人を追加しました。
2026-01-05,爆笑オンエアバトル チャンピオン大会を追加しました。
2026-01-06,爆笑オンエアバトルチャンピオン大会のセミファイナリスト・オンバト＋を追加しました。
2026-01-07,芸人一覧ページに詳細表示を追加しました。
2026-01-08,R-1グランプリ2025のネタ名を追加しました。
